threshold,adx4_min,adx1d_min,sl_atr_mul,tp1_atr_mul,tp2_atr_mul,trail_mul,partial_pct,net90,mdd90,score90,trades90,net180,mdd180,score180,trades180,status
0.5,6.0,0.0,1.1,1.7,6.0,1.1,0.45,129.6360545925835,153.05934702183185,0.8414682854277753,63,958.6848926631021,165.58631967123438,5.754883681655913,192,DEGRADE_90
0.5,6.0,0.0,1.1,1.7,6.0,1.1,0.5,132.12423660711335,153.08223227049166,0.8574917085518919,63,966.0680871739897,165.68195797971202,5.795876763648147,192,DEGRADE_90
0.5,6.0,0.0,1.1,1.7,6.0,1.2,0.4,187.9482092799951,154.72383439109763,1.2069328373199861,59,952.5297486300042,166.33549407397186,5.692335352408447,185,DEGRADE_90
0.5,6.0,0.0,1.1,1.7,6.0,1.2,0.45,195.6737032444336,154.81928221928865,1.2557733578123966,59,966.7783534326145,166.52835333443727,5.770834215164954,185,DEGRADE_90
0.5,6.0,0.0,1.1,1.7,6.0,1.2,0.5,203.40328374280983,154.91476942666304,1.3045799605180044,59,981.0318360176939,166.7212367910597,5.84918078823747,185,DEGRADE_90
0.5,6.0,0.0,1.1,1.8,6.0,1.0,0.4,244.54280253746123,112.75659659734083,2.1497021698272016,67,1074.2524871582575,122.50548651154713,8.698014294756213,196,OK
0.5,6.0,0.0,1.1,1.8,6.0,1.0,0.45,247.17149040975477,112.77345425726162,2.172488231313228,67,1085.2829299207337,121.99714317225698,8.82364339471527,196,OK
0.5,6.0,0.0,1.1,1.8,6.0,1.0,0.5,249.79982534432693,112.79030837598839,2.1952645081067272,67,1096.3192605628828,122.10553304100722,8.905523849993745,196,OK
0.5,6.0,0.0,1.1,1.8,6.0,1.1,0.4,139.95036157193792,153.1746147456488,0.9077393305170408,63,932.9192114344721,165.15324321540356,5.6148119253081425,189,DEGRADE_90
0.5,6.0,0.0,1.1,1.8,6.0,1.1,0.45,144.04326910046922,153.214800120164,0.9340430943607932,63,938.0088442116986,165.2067912489365,5.6436252523929324,189,DEGRADE_90
0.5,6.0,0.0,1.1,1.8,6.0,1.1,0.5,148.1367044085976,153.25498636981501,0.9603365693051291,63,943.0907740837275,165.26021241882518,5.672378017345442,189,DEGRADE_90
0.5,6.0,0.0,1.1,1.8,6.0,1.2,0.4,204.5205318311381,154.91955952049102,1.3117054233613321,59,934.1166994894609,165.9958973620287,5.59365058810037,182,DEGRADE_90
0.5,6.0,0.0,1.1,1.8,6.0,1.2,0.45,214.33181347571522,155.0396042988923,1.3735731671375222,59,946.0475219192062,166.14604923998195,5.660005284126741,182,DEGRADE_90
0.5,6.0,0.0,1.1,1.8,6.0,1.2,0.5,224.15035659597902,155.1597176965479,1.4353916611936481,59,957.9796506176333,166.29616836742935,5.726249799778087,182,DEGRADE_90
0.5,6.0,0.0,1.2,1.6,6.0,1.0,0.4,200.4919979534817,103.05615891206799,1.9267672384765444,67,1001.285476666743,111.14662160882654,8.928360589936277,202,OK
0.5,6.0,0.0,1.2,1.6,6.0,1.0,0.45,199.93730749367356,103.04896674027441,1.9215693702442456,67,1013.8368279699379,111.27171381086737,9.030207106999763,202,OK
0.5,6.0,0.0,1.2,1.6,6.0,1.0,0.5,199.38186363684113,103.04177069981233,1.9163636133424704,67,1026.3962702873544,111.39688770541943,9.13189227247495,202,OK
0.5,6.0,0.0,1.2,1.6,6.0,1.1,0.4,104.98228041010012,140.08266882340286,0.7441189005398628,63,861.1762757978256,150.56558409060563,5.681872180712318,194,DEGRADE_90
0.5,6.0,0.0,1.2,1.6,6.0,1.1,0.45,105.79508345027963,140.0873863399829,0.7498550096841524,63,866.8439911100884,150.6371106784045,5.71656890079178,194,DEGRADE_90
0.5,6.0,0.0,1.2,1.6,6.0,1.1,0.5,106.6071985868231,140.0920981728159,0.7555858901201246,63,872.5038078975348,150.70852571110845,5.751185068919617,194,DEGRADE_90
