threshold,adx4_min,adx1d_min,sl_atr_mul,tp1_atr_mul,tp2_atr_mul,trail_mul,partial_pct,risk_perc,net90,pf90,wr90,mdd90,score90,trades90,net180,pf180,wr180,mdd180,score180,trades180,status
0.53,8.0,3.0,1.4,1.7,6.0,1.1,0.5,0.004,100.24835199887197,1.8895510541987262,36.666666666666664,88.19059732380447,1.123978928349617,30,273.8754969483664,1.4110884666866466,32.903225806451616,172.20448247464265,1.5812263807229245,155,"DEGRADE_90,DEGRADE_180"
0.53,8.0,3.0,1.4,1.7,6.0,1.1,0.5,0.005,125.28143594840404,1.8892563512828056,36.666666666666664,110.27144493587912,1.1259082329756593,30,342.5770736793091,1.409717328941505,32.903225806451616,216.5574354924065,1.5746511853476328,155,"DEGRADE_90,DEGRADE_180"
0.53,8.0,3.0,1.4,1.7,6.0,1.2,0.4,0.004,134.3015530793545,2.4249326216209055,40.74074074074074,77.59352817019499,1.7088118602911335,27,223.21271334708842,1.3179925419623286,30.555555555555557,215.82759108612845,1.0294479232507991,144,DEGRADE_180
0.53,8.0,3.0,1.4,1.7,6.0,1.2,0.4,0.005,167.9646452923788,2.424637208162162,40.74074074074074,97.03609918855364,1.7132938446411563,27,278.7884793532297,1.3165914940345924,30.555555555555557,271.19670256123936,1.0242169604920446,144,DEGRADE_180
0.53,8.0,3.0,1.4,1.7,6.0,1.2,0.5,0.004,137.8839667503868,2.4624762222921213,40.74074074074074,74.75048231878827,1.8202387962378381,27,224.27144530562265,1.3194722312548237,30.555555555555557,213.32747536767783,1.046396151127549,144,DEGRADE_180
0.53,8.0,3.0,1.4,1.7,6.0,1.2,0.5,0.005,172.45503095476863,2.462142225887843,40.74074074074074,93.48981281500346,1.8251177118152313,27,280.13461899421384,1.3180843852268782,30.555555555555557,268.0431059777202,1.0412257841589598,144,DEGRADE_180
0.53,8.0,5.0,1.2,1.6,5.0,1.0,0.4,0.004,137.56967865988156,2.1131509274475277,37.5,89.20103272854612,1.5251452727142067,32,475.31878046368115,1.6736142714620506,36.41975308641975,163.03810397039888,2.8976120118375284,162,OK
0.53,8.0,5.0,1.2,1.6,5.0,1.0,0.4,0.005,172.00724635258632,2.113070478196778,37.5,111.53196546766594,1.5285189913616992,32,596.3745386302693,1.6713989271221523,36.41975308641975,204.7256889275086,2.8988822044504774,162,OK
0.53,8.0,5.0,1.2,1.6,5.0,1.0,0.5,0.004,136.19494943419306,2.101990209782434,37.5,89.20494996683374,1.5098389776200616,32,471.8451345977853,1.6685743420188093,36.41975308641975,163.11387954755628,2.875108040213356,162,OK
0.53,8.0,5.0,1.2,1.6,5.0,1.0,0.5,0.005,170.28665185799298,2.1018901620833343,37.5,111.53808029158427,1.5131469402781987,32,592.0132083920562,1.6663427201747525,36.41975308641975,204.84460812654288,2.8760199928487626,162,OK
0.53,8.0,5.0,1.2,1.6,5.0,1.1,0.4,0.004,110.2635730436748,1.8387480905715687,36.666666666666664,105.32281957723353,1.0370640421511648,30,309.1875363210974,1.396703852415913,33.33333333333333,207.44472983567903,1.4833070453008617,156,"DEGRADE_90,DEGRADE_180"
0.53,8.0,5.0,1.2,1.6,5.0,1.1,0.4,0.005,137.77582239331647,1.838364160447487,36.666666666666664,131.68987914011632,1.0383295492177633,30,386.7051054443315,1.3950725588470148,33.33333333333333,261.0918534771081,1.4754564108498989,156,"DEGRADE_90,DEGRADE_180"
0.53,8.0,5.0,1.2,1.6,5.0,1.1,0.5,0.004,110.23296466378068,1.8384634828555664,36.666666666666664,104.55705305003175,1.044297481585931,30,308.3098689523383,1.3955185112135773,33.33333333333333,206.731981010018,1.4841714186390487,156,"DEGRADE_90,DEGRADE_180"
0.53,8.0,5.0,1.2,1.6,5.0,1.1,0.5,0.005,137.73881443903156,1.838074359131541,36.666666666666664,130.7354161159219,1.045571635176883,30,385.62362410201195,1.3938936296831288,33.33333333333333,260.19415997906617,1.476386853874981,156,"DEGRADE_90,DEGRADE_180"
0.53,8.0,5.0,1.2,1.6,5.0,1.2,0.4,0.004,150.0057840721851,2.3638354454937716,40.74074074074074,90.69266924934709,1.6359626707372055,27,251.25064560640644,1.3060094628759895,31.03448275862069,258.200804364189,0.9693281863947758,145,DEGRADE_180
0.53,8.0,5.0,1.2,1.6,5.0,1.2,0.4,0.005,187.60473669814021,2.363463076221304,40.74074074074074,113.49332334683822,1.6385648631215226,27,313.7073368765851,1.3043718175717585,31.03448275862069,324.75730248320906,0.9630093768742296,145,DEGRADE_180
0.53,8.0,5.0,1.2,1.6,5.0,1.2,0.5,0.004,152.50725179954148,2.3861427299612283,40.74074074074074,87.21492463932736,1.72881462431757,27,250.2400559374984,1.3047326640112336,31.03448275862069,254.72893237908102,0.9785363494442383,145,DEGRADE_180
0.53,8.0,5.0,1.2,1.6,5.0,1.2,0.5,0.005,190.74235346016985,2.385722453221866,40.74074074074074,109.08067602103256,1.7327505639929544,27,312.4639884920473,1.3031080541848574,31.03448275862069,320.28987570836034,0.9725298308984861,145,DEGRADE_180
0.53,8.0,5.0,1.2,1.6,6.0,1.0,0.4,0.004,137.56967865988156,2.1131509274475277,37.5,89.20103272854612,1.5251452727142067,32,475.31878046368115,1.6736142714620506,36.41975308641975,163.03810397039888,2.8976120118375284,162,OK
0.53,8.0,5.0,1.2,1.6,6.0,1.0,0.4,0.005,172.00724635258632,2.113070478196778,37.5,111.53196546766594,1.5285189913616992,32,596.3745386302693,1.6713989271221523,36.41975308641975,204.7256889275086,2.8988822044504774,162,OK
0.53,8.0,5.0,1.2,1.6,6.0,1.0,0.5,0.004,136.19494943419306,2.101990209782434,37.5,89.20494996683374,1.5098389776200616,32,471.8451345977853,1.6685743420188093,36.41975308641975,163.11387954755628,2.875108040213356,162,OK
0.53,8.0,5.0,1.2,1.6,6.0,1.0,0.5,0.005,170.28665185799298,2.1018901620833343,37.5,111.53808029158427,1.5131469402781987,32,592.0132083920562,1.6663427201747525,36.41975308641975,204.84460812654288,2.8760199928487626,162,OK
0.53,8.0,5.0,1.2,1.6,6.0,1.1,0.4,0.004,110.2635730436748,1.8387480905715687,36.666666666666664,105.32281957723353,1.0370640421511648,30,309.1875363210974,1.396703852415913,33.33333333333333,207.44472983567903,1.4833070453008617,156,"DEGRADE_90,DEGRADE_180"
0.53,8.0,5.0,1.2,1.6,6.0,1.1,0.4,0.005,137.77582239331647,1.838364160447487,36.666666666666664,131.68987914011632,1.0383295492177633,30,386.7051054443315,1.3950725588470148,33.33333333333333,261.0918534771081,1.4754564108498989,156,"DEGRADE_90,DEGRADE_180"
0.53,8.0,5.0,1.2,1.6,6.0,1.1,0.5,0.004,110.23296466378068,1.8384634828555664,36.666666666666664,104.55705305003175,1.044297481585931,30,308.3098689523383,1.3955185112135773,33.33333333333333,206.731981010018,1.4841714186390487,156,"DEGRADE_90,DEGRADE_180"
0.53,8.0,5.0,1.2,1.6,6.0,1.1,0.5,0.005,137.73881443903156,1.838074359131541,36.666666666666664,130.7354161159219,1.045571635176883,30,385.62362410201195,1.3938936296831288,33.33333333333333,260.19415997906617,1.476386853874981,156,"DEGRADE_90,DEGRADE_180"
0.53,8.0,5.0,1.2,1.6,6.0,1.2,0.4,0.004,150.0057840721851,2.3638354454937716,40.74074074074074,90.69266924934709,1.6359626707372055,27,251.25064560640644,1.3060094628759895,31.03448275862069,258.200804364189,0.9693281863947758,145,DEGRADE_180
0.53,8.0,5.0,1.2,1.6,6.0,1.2,0.4,0.005,187.60473669814021,2.363463076221304,40.74074074074074,113.49332334683822,1.6385648631215226,27,313.7073368765851,1.3043718175717585,31.03448275862069,324.75730248320906,0.9630093768742296,145,DEGRADE_180
0.53,8.0,5.0,1.2,1.6,6.0,1.2,0.5,0.004,152.50725179954148,2.3861427299612283,40.74074074074074,87.21492463932736,1.72881462431757,27,250.2400559374984,1.3047326640112336,31.03448275862069,254.72893237908102,0.9785363494442383,145,DEGRADE_180
0.53,8.0,5.0,1.2,1.6,6.0,1.2,0.5,0.005,190.74235346016985,2.385722453221866,40.74074074074074,109.08067602103256,1.7327505639929544,27,312.4639884920473,1.3031080541848574,31.03448275862069,320.28987570836034,0.9725298308984861,145,DEGRADE_180
0.53,8.0,5.0,1.2,1.7,5.0,1.0,0.4,0.004,142.94720187948056,2.1565489976693857,37.5,89.21286513392624,1.5845545052500785,32,471.48613237813476,1.6691618496873735,35.625,162.69784232446727,2.8802220339813456,160,OK
0.53,8.0,5.0,1.2,1.7,5.0,1.0,0.4,0.005,178.743232574542,2.156516701003035,37.5,111.55043589763409,1.5881167509392058,32,591.5117790268073,1.667143382587491,35.625,204.19204118922062,2.88272281711617,160,OK
0.53,8.0,5.0,1.2,1.7,5.0,1.0,0.5,0.004,142.91650333133975,2.1562331797950884,37.5,89.21974047355252,1.5840934875359682,32,467.0623682831417,1.6630096688903446,35.625,162.68854728949373,2.8533600915714152,160,OK
